global_step,seed,method,env_id,mean_episode_reward,std_episode_reward,mean_success_rate,std_success_rate,mean_episode_length,label,experiment,source_path
240000,0,sac_her,FetchPush-v3,-48.05,8.052794545994576,0.05,0.2179449471770336,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
250000,0,sac_her,FetchPush-v3,-48.6,4.328972164382672,0.0,0.0,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
260000,0,sac_her,FetchPush-v3,-47.35,10.882439983753644,0.05,0.2179449471770336,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
270000,0,sac_her,FetchPush-v3,-45.25,13.670680304944591,0.1,0.3,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
280000,0,sac_her,FetchPush-v3,-49.05,2.4591665254715873,0.0,0.0,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
290000,0,sac_her,FetchPush-v3,-43.55,13.354680827335413,0.15,0.3570714214271425,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
300000,0,sac_her,FetchPush-v3,-45.3,12.538341198101127,0.1,0.3,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
310000,0,sac_her,FetchPush-v3,-47.75,9.807522622966516,0.05,0.2179449471770336,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
320000,0,sac_her,FetchPush-v3,-40.95,17.639373571643638,0.2,0.4,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
330000,0,sac_her,FetchPush-v3,-43.4,16.051168181786647,0.15,0.3570714214271425,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
340000,0,sac_her,FetchPush-v3,-34.9,18.06349910731584,0.4,0.4898979485566356,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
350000,0,sac_her,FetchPush-v3,-36.75,16.342811875561683,0.35,0.4769696007084728,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
360000,0,sac_her,FetchPush-v3,-35.5,21.609025891973936,0.3,0.4582575694955839,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
370000,0,sac_her,FetchPush-v3,-40.3,16.189811611010178,0.2,0.4,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
380000,0,sac_her,FetchPush-v3,-42.65,14.371064678721616,0.15,0.3570714214271425,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
390000,0,sac_her,FetchPush-v3,-35.55,16.35687928670992,0.4,0.4898979485566356,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
400000,0,sac_her,FetchPush-v3,-29.6,17.9705314334329,0.55,0.49749371855331,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
410000,0,sac_her,FetchPush-v3,-27.55,19.60478257976864,0.55,0.49749371855331,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
420000,0,sac_her,FetchPush-v3,-33.55,16.12598834180405,0.5,0.5,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
430000,0,sac_her,FetchPush-v3,-27.6,16.936351437071682,0.65,0.4769696007084729,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
